trait_name,group_1,group_2,unit,source_count,fraction_of_2478,fraction_of_metatraits_covered_1638
hydrolysis: tributyrin,Metabolism,Hydrolase activity,boolean,44,0.017756,0.026862
builds acid from: arabinose,Metabolism,Builds acid from,boolean,43,0.017353,0.026252
enzyme activity: pyrazinamidase (EC3.5.1.B15),Enzymes,Enzyme activity,boolean,40,0.016142,0.02442
growth: 2-oxoglutarate,Metabolism,Growth,boolean,40,0.016142,0.02442
produces: polysaccharides,Metabolism,Produces metabolite,boolean,40,0.016142,0.02442
degradation: D-glucose,Metabolism,Catabolic process,boolean,38,0.015335,0.023199
growth: 3-hydroxybutyrate,Metabolism,Growth,boolean,37,0.014931,0.022589
carbon source: glucose,Metabolism,Carbon utilization,boolean,36,0.014528,0.021978
enzyme activity: beta-lactamase (EC3.5.2.6),Enzymes,Enzyme activity,boolean,36,0.014528,0.021978
enzyme activity: proline-arylamidase (EC3.4.11.5),Enzymes,Enzyme activity,boolean,36,0.014528,0.021978
assimilation: acetate,Metabolism,Assimilation,boolean,35,0.014124,0.021368
builds gas from: nitrate,Metabolism,Builds gas from,boolean,32,0.012914,0.019536
growth: 3-phenylpropionate,Metabolism,Growth,boolean,31,0.01251,0.018926
builds gas from: nitrite,Metabolism,Builds gas from,boolean,30,0.012107,0.018315
degradation: lactose,Metabolism,Catabolic process,boolean,30,0.012107,0.018315
growth: 3-O-methyl-D-glucose,Metabolism,Growth,boolean,30,0.012107,0.018315
growth: 3-coumarate,Metabolism,Growth,boolean,30,0.012107,0.018315
growth: 5-aminovalerate,Metabolism,Growth,boolean,30,0.012107,0.018315
assimilation: propionate,Metabolism,Assimilation,boolean,29,0.011703,0.017705
carbon source: arabinose,Metabolism,Carbon utilization,boolean,29,0.011703,0.017705
carbon source: cellobiose,Metabolism,Carbon utilization,boolean,28,0.011299,0.017094
degradation: maltose,Metabolism,Catabolic process,boolean,28,0.011299,0.017094
assimilation: succinate,Metabolism,Assimilation,boolean,26,0.010492,0.015873
enzyme activity: esterase,Enzymes,Enzyme activity,boolean,26,0.010492,0.015873
reduction: triphenyltetrazolium chloride,Metabolism,Reduction,boolean,25,0.010089,0.015263
degradation: D-xylose,Metabolism,Catabolic process,boolean,24,0.009685,0.014652
assimilation: maltose,Metabolism,Assimilation,boolean,23,0.009282,0.014042
carbon source: maltose,Metabolism,Carbon utilization,boolean,23,0.009282,0.014042
assimilation: N-acetylglucosamine,Metabolism,Assimilation,boolean,22,0.008878,0.013431
enzyme activity: glutamate decarboxylase (EC4.1.1.15),Enzymes,Enzyme activity,boolean,22,0.008878,0.013431
degradation: phenol,Metabolism,Catabolic process,boolean,21,0.008475,0.012821
builds acid from: inulin,Metabolism,Builds acid from,boolean,20,0.008071,0.01221
builds acid from: melezitose,Metabolism,Builds acid from,boolean,20,0.008071,0.01221
fermentation: N-acetylglucosamine,Metabolism,Fermentation,boolean,20,0.008071,0.01221
